Date Time,temperature,humidity,CO_1,CO_2,CO_3,CO_4,CO_5,CO_6,CO_7,CO_8
2022-02-12 16:27:21,28.13,37.3,1,0,10,2,0,41,0,-8
2022-02-12 16:27:32,28.16,37.31,0,0,9,1,1,0,0,-7
2022-02-12 16:27:41,28.17,37.38,1,1,9,0,1,1,0,-7
2022-02-12 16:27:49,28.17,37.37,1,0,10,0,0,1,0,-8
2022-02-12 16:27:57,28.17,37.35,0,0,9,1,0,40,0,-7
2022-02-12 16:28:05,28.17,37.29,1,1,9,1,1,1,1,-7
2022-02-12 16:28:14,28.16,37.36,1,1,10,1,-1,41,0,-8
2022-02-12 16:28:22,28.17,37.37,0,0,9,1,1,40,1,1
2022-02-12 16:28:30,28.14,37.37,1,0,9,0,0,1,0,-7
2022-02-12 16:28:38,28.16,37.43,1,0,9,2,0,40,0,-7
2022-02-12 16:28:46,28.16,37.37,0,-1,9,2,1,41,0,-7
2022-02-12 16:28:55,28.15,37.35,0,0,9,1,0,40,0,-8
2022-02-12 16:29:03,28.15,37.35,0,0,9,1,0,41,1,-7
2022-02-12 16:29:11,28.15,37.38,1,0,9,0,0,41,0,-8
2022-02-12 16:29:19,28.15,37.39,0,0,9,1,0,1,0,-7
2022-02-12 16:29:28,28.16,37.34,0,0,9,0,1,1,1,-7
2022-02-12 16:29:36,28.14,37.38,1,0,9,0,2,1,1,-7
2022-02-12 16:29:45,28.18,37.32,0,0,9,1,0,41,0,-7
2022-02-12 16:29:53,28.15,37.35,0,0,9,1,0,1,0,-7
2022-02-12 16:30:02,28.16,37.34,1,0,9,0,0,1,1,-7
2022-02-12 16:30:10,28.14,37.34,1,1,9,2,1,41,1,-7
2022-02-12 16:30:18,28.16,37.35,0,1,9,2,-1,40,0,-7
2022-02-12 16:30:27,28.16,37.36,0,1,10,1,1,0,1,-7
2022-02-12 16:30:35,28.16,37.38,1,1,9,2,0,40,0,-7
2022-02-12 16:30:43,28.16,37.37,1,0,10,1,1,1,0,-7
2022-02-12 16:30:52,28.14,37.33,2,1,10,0,0,1,0,-8
2022-02-12 16:31:00,28.1,37.38,1,0,9,1,0,40,0,-8
2022-02-12 16:31:08,28.16,37.38,1,0,9,1,1,1,0,-8
2022-02-12 16:31:17,28.16,37.35,0,1,9,1,0,40,0,-6
2022-02-12 16:31:25,28.16,37.33,1,0,9,0,0,41,0,-8
2022-02-12 16:31:34,28.15,37.36,1,0,9,0,2,1,0,-7
2022-02-12 16:31:42,28.15,37.39,1,0,8,0,0,1,0,-8
2022-02-12 16:31:50,28.1,37.36,0,0,9,0,0,1,0,-7
2022-02-12 16:31:58,28.15,37.35,0,0,9,2,0,40,1,-8
2022-02-12 16:32:07,28.14,37.37,0,0,9,0,0,2,1,-7
2022-02-12 16:32:15,28.13,37.4,1,1,8,1,0,40,0,-7
2022-02-12 16:32:23,28.14,37.37,0,0,9,1,1,40,0,-7
2022-02-12 16:32:31,28.14,37.36,0,1,9,1,-1,41,0,-8
2022-02-12 16:32:40,28.14,37.38,0,1,9,1,0,1,0,-8
2022-02-12 16:32:48,28.14,37.35,0,1,9,1,1,1,1,-7
2022-02-12 16:32:56,28.15,37.34,0,1,9,0,0,2,0,-7
2022-02-12 16:33:04,28.14,37.34,0,0,9,2,0,40,0,-7
2022-02-12 16:33:12,28.14,37.34,0,1,9,1,0,1,0,-7
2022-02-12 16:33:21,28.14,37.37,0,0,9,1,0,40,1,-7
2022-02-12 16:33:29,28.14,37.38,1,1,9,0,0,1,0,-7
2022-02-12 16:33:37,28.14,37.33,0,0,9,1,1,0,0,-7
2022-02-12 16:33:46,28.14,37.31,1,1,9,0,1,41,-7,-8
2022-02-12 16:33:54,28.14,37.3,1,1,9,1,0,41,1,-8
2022-02-12 16:34:02,28.14,37.39,0,0,9,0,1,1,1,-8
2022-02-12 16:34:10,28.14,37.37,1,0,9,1,0,41,0,-6
2022-02-12 16:39:01,27.78,33.94,-5,3,8,7,1,320,-4,-6
2022-02-12 16:39:10,28.17,33.82,-1,4,6,14,-10,-161,4,-6
2022-02-12 16:39:21,28.15,33.68,0,2,7,-16,-13,-250,6,-6
2022-02-12 16:39:29,28.11,33.78,-4,-3,7,-3,-5,-32,4,-7
2022-02-12 16:39:37,28.1,33.86,-4,3,8,12,-2,197,-4,-8
2022-02-12 16:39:45,28.08,33.88,3,3,7,9,2,355,-7,-7
2022-02-12 16:39:56,28.06,33.76,0,-2,6,-7,4,721,-6,-9
2022-02-12 16:40:05,28.04,33.66,2,6,7,3,-223,-113,3,-8
2022-02-12 16:40:13,28.04,34.25,0,-1,6,9,207,-172,3,-8
2022-02-12 16:40:21,27.99,34.1,2,4,5,-17,180,-276,2,-9
2022-02-12 16:40:29,27.98,34,4,1,5,-6,156,-65,4,-9
