Date Time, CO(ppm), NO2(ppm), O3(ppm),Unnamed: 0,Unnamed: 0.1,timestamp,temp_c,hum_prcnt,press_hpa,ozone_ppm,ozone_volt_mv,co_ppm,co_mv,no2_ppb,no2_mv,tvoc_ppb,mc2p5_ugpm3,mc1p0_ugpm3,mc4p0_ugpm3,mc10p0_ugpm3,nc0p5_npcm3,nc1p0_npcm3,nc2p5_npcm3,nc4p0_npcm3,nc10p0_npcm3,typ_pm_um,x_g,y_g,z_g,x_raw,y_raw,z_raw,eq_db,onesmin_db,onesmax_db,lux_lx,uv_mwpm2,batt_volt,batt_prcnt,si1133_int,lis3dh_int,sgpc3_int,batt_int,speco3_int,sps30_int,sps30pre_int,mic4514_int,mic4514pre_int,mic_int,bme280_int,leds_on,code_version,receivedTimestamp,lat,lon,acc,co-ug,no2-ug,o3-ug,co-mg,bc-proxy,ldsa-proxy,newaqi,dosage-male-walking-low,dosage-male-walking-high,dosage-female-walking-low,dosage-female-walking-high,accbin
2021-12-02 12:02:00,0.0,,,347985.0,347985.0,1638426750989.5,33.005,40.663,946.771,116.5,-2329.0,407.0,1639.0,742.5,710.5,0.0,73.452,64.496,77.701,78.551,438.963,507.683,514.39,515.729,516.026,0.656,-0.04,-0.032,-0.024,64896.0,65024.0,65152.0,60.628,54.756,69.704,427.685,0.113,4097.5,95.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1638426751683.5,17.445,78.351,3.216,291.846,23.337,246.469,0.292,1.124,18.561,153.05,20.273,50.682,17.628,44.071,0.0
2021-12-02 12:03:00,0.0,,,347991.0,347991.0,1638426812907.0,32.79,40.522,946.899,55.5,-1106.0,401.0,1622.5,716.0,700.5,0.0,87.424,74.806,94.158,95.504,503.954,586.373,596.476,598.507,598.919,0.658,-0.04,0.032,0.0,64896.0,33280.0,0.0,69.757,58.776,78.596,218.562,0.024,4105.0,95.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1638426813079.0,17.446,78.351,3.216,287.003,22.486,140.711,0.287,1.164,19.487,151.35,24.129,60.323,20.982,52.455,0.0
2021-12-02 12:04:00,0.09,,,347995.0,347995.0,1638426859220.0,32.73,40.167,946.977,10.0,-209.0,413.0,1662.0,810.0,727.0,0.0,82.055,70.48,88.145,89.363,475.54,552.811,562.003,563.849,564.228,0.684,-0.032,-0.032,-0.096,65024.0,65024.0,64000.0,63.679,62.728,64.478,290.397,0.164,4107.0,95.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1638426859383.0,17.446,78.351,3.216,296.293,25.49,61.784,0.296,1.206,20.804,151.2,22.647,56.618,19.693,49.233,0.0
2021-12-02 12:05:00,0.0,,,348001.0,348001.0,1638426937524.0,32.91,38.86,946.857,0.0,674.0,412.0,1657.0,771.0,717.0,0.0,71.179,63.856,74.137,74.728,438.193,504.354,509.385,510.379,510.627,0.63,-0.016,-0.032,0.016,65280.0,65024.0,256.0,64.001,62.876,64.917,247.01,0.257,4095.0,95.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1638426938573.0,17.446,78.351,4.288,294.137,24.229,44.372,0.294,1.13,0.0,141.4,19.645,49.114,17.083,42.708,0.0
2021-12-02 12:06:00,0.63,,,348004.0,348004.0,1638426992983.0,32.96,38.755,946.836,0.0,769.0,415.0,1666.0,807.0,725.0,0.0,74.552,67.145,77.425,77.999,461.444,530.656,535.641,536.623,536.874,0.652,0.016,-0.032,0.096,256.0,65024.0,1536.0,63.347,62.222,64.473,297.089,0.039,4092.0,95.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1638426993156.0,17.446,78.351,6.432,296.414,25.38,44.351,0.296,1.172,0.0,148.2,20.576,51.441,17.893,44.731,0.0
2021-12-02 12:07:00,3.1,,,348011.5,348011.5,1638427054406.0,33.01,39.481,946.876,6.5,234.0,412.5,1657.5,801.5,721.5,0.0,74.193,65.354,78.308,79.131,445.349,514.697,521.247,522.553,522.847,0.667,-0.008,-0.064,0.008,32640.0,64512.0,32896.0,67.535,60.42,73.122,1114.571,0.172,4096.0,95.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1638427054579.5,17.447,78.351,3.752,295.096,25.212,55.59,0.295,1.168,10.132,147.4,20.477,51.193,17.806,44.516,0.0
2021-12-02 12:08:00,4.26,,,348016.0,348016.0,1638427119775.0,33.13,39.182,945.821,51.0,-1009.0,436.0,1724.0,757.0,713.0,0.0,90.666,81.214,94.539,95.313,556.987,641.3,647.842,649.136,649.455,0.662,-0.032,0.016,0.016,65024.0,256.0,256.0,81.25,76.732,84.849,1659.864,0.371,4098.0,95.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1638427120193.0,17.45,78.348,4.288,313.566,23.785,132.768,0.314,1.214,19.891,151.4,25.024,62.559,21.76,54.399,0.0
2021-12-02 12:09:00,4.61,,,348022.0,348022.0,1638427188168.0,33.19,38.277,946.276,8.0,-165.0,397.0,1620.0,653.0,679.0,0.0,83.981,77.45,85.664,86.001,536.949,614.335,617.985,618.686,618.915,0.603,-0.048,-0.048,-0.064,64768.0,64768.0,64512.0,76.623,72.334,80.339,905.579,0.094,4088.0,95.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1638427190160.0,17.454,78.343,4.288,281.432,20.448,58.134,0.281,1.108,19.891,151.2,23.179,57.947,20.155,50.389,0.0
2021-12-02 12:10:00,5.27,,,348026.0,348026.0,1638427245792.0,33.15,38.589,946.765,24.0,-486.0,398.0,1614.0,625.0,671.0,0.0,77.173,69.511,80.142,80.736,477.718,549.361,554.515,555.531,555.791,0.627,0.096,0.0,0.0,1536.0,0.0,0.0,75.077,70.458,79.399,5187.471,0.624,4096.0,95.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1638427245935.0,17.457,78.339,6.432,282.554,19.555,85.914,0.283,1.057,18.746,151.0,21.3,53.249,18.522,46.304,0.0
2021-12-02 12:11:00,3.24,,,348031.0,348031.0,1638427307999.0,33.06,38.799,947.519,37.0,-743.0,405.0,1639.0,628.0,678.0,0.0,79.356,71.149,82.689,83.356,488.129,561.903,567.558,568.676,568.953,0.636,-0.096,-0.032,-0.048,64000.0,65024.0,64768.0,76.809,72.693,80.642,5200.174,0.418,4093.0,94.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1638427308180.0,17.462,78.336,9.648,288.405,19.653,108.514,0.288,1.067,18.639,151.1,21.902,54.755,19.045,47.613,1.0
