Date Time, CO(ppm), NO2(ppm), O3(ppm),timestamp,temp_c,hum_prcnt,press_hpa,ozone_ppm,ozone_volt_mv,co_ppm,co_mv,no2_ppb,no2_mv,tvoc_ppb,mc2p5_ugpm3,mc1p0_ugpm3,mc4p0_ugpm3,mc10p0_ugpm3,nc0p5_npcm3,nc1p0_npcm3,nc2p5_npcm3,nc4p0_npcm3,nc10p0_npcm3,typ_pm_um,x_g,y_g,z_g,x_raw,y_raw,z_raw,eq_db,onesmin_db,onesmax_db,lux_lx,uv_mwpm2,batt_volt,batt_prcnt,si1133_int,lis3dh_int,sgpc3_int,batt_int,speco3_int,sps30_int,sps30pre_int,mic4514_int,mic4514pre_int,mic_int,bme280_int,leds_on,code_version,receivedTimestamp,lat,lon,acc,co-ug,no2-ug,o3-ug,co-mg,bc-proxy,ldsa-proxy,newaqi,dosage-male-walking-low,dosage-male-walking-high,dosage-female-walking-low,dosage-female-walking-high,accbin
2021-12-02 11:49:00,0,,,1638425973358,31.29,49.094,945.901,136,-2716,279,1289,332,589,0,76.212,69.405,78.493,78.949,479.925,549.492,553.724,554.528,554.728,0.589,-0.016,0,0.016,65280,0,256,55.46,48.558,68.789,0,0,4113,97,30,30,30,30,30,30,30,30,120,30,30,1,1,1638425978147,17.445,78.351,6.2,198.352,10.285,280.944,0.198,0.768,15.121,154.1,21.034,52.586,18.291,45.727,0
2021-12-02 11:50:00,0,,,1638426020559.5,31.485,45.052,945.77,77,-1538.5,273,1264,255,572,0,81.232,73.49,84.08,84.649,506.918,581.244,586.285,587.251,587.478,0.61,0.04,-0.008,-0.024,640,32640,32384,61.36,51.775,74.388,0,0,4115,96,30,30,30,30,30,30,30,30,120,30,30,1,1,1638426021546.5,17.445,78.351,2,189.524,7.778,178.552,0.19,0.691,14.457,151.45,22.42,56.05,19.496,48.739,0
2021-12-02 11:51:00,0,,,1638426083013.5,31.71,44.309,945.812,52.5,-1051.5,268,1251,197.5,558,0,65.53,59.76,67.42,67.798,413.449,473.235,476.783,477.456,477.625,0.591,-0.024,-0.024,-0.064,65152,32384,64512,64.125,50.195,78.833,0,0,4106,96,30,30,30,30,30,30,30,30,120,30,30,1,1,1638426084008,17.445,78.351,1.8,184.694,5.931,135.94,0.185,0.55,12.751,129.95,18.086,45.215,15.727,39.318,0
2021-12-02 11:52:00,0,,,1638426145134.5,31.67,42.259,945.853,17,-330,269.5,1260.5,182,547.5,0,79.606,72.847,81.687,82.104,504.644,577.181,581.217,581.979,582.178,0.59,-0.024,-0.008,0.008,65152,32640,32896,54.792,49.795,66.126,0,0,4110,96,30,30,30,30,30,30,30,30,120,30,30,1,1,1638426145573,17.445,78.351,1.55,183.918,5.412,74.398,0.184,0.585,14.057,151.15,21.971,54.928,19.105,47.763,0
2021-12-02 11:53:00,0,,,1638426206841.5,31.43,42.104,945.774,12.5,-247.5,284,1298.5,276,576.5,0,76.028,69.749,77.865,78.233,483.634,552.847,556.509,557.198,557.382,0.612,-0.016,-0.008,0.08,32512,32640,1280,53.312,48.232,62.984,0,0,4118,96,30,30,30,30,30,30,30,30,120,30,30,1,1,1638426207282,17.445,78.351,1.7,195.486,8.418,66.709,0.195,0.703,15.476,149.25,20.984,52.459,18.247,45.617,0
2021-12-02 11:54:00,0,,,1638426268936.5,31.375,42.025,945.771,7.5,-154,292,1316,285.5,585.5,0,68.857,62.676,70.945,71.363,433.315,496.181,500.038,500.772,500.953,0.6,-0.04,-0.016,0.064,64896,65280,1024,54.988,49.763,67.311,0,0,4107,96,30,30,30,30,30,30,30,30,120,30,30,1,1,1638426269371.5,17.445,78.351,1.55,201.84,8.721,58.06,0.202,0.692,15.461,136.7,19.005,47.512,16.526,41.314,0
2021-12-02 11:55:00,0,,,1638426330858,31.395,42.501,945.672,26.5,-533.5,280,1287,208.5,561,0,73.937,67.34,76.144,76.585,465.669,533.157,537.254,538.033,538.227,0.626,-0.072,0.032,-0.064,31616,33280,31744,58.302,49.734,69.78,0,0,4113,96,30,30,30,30,30,30,30,30,120,30,30,1,1,1638426331278,17.445,78.351,2.1,192.686,6.262,91.014,0.193,0.603,13.783,146.8,20.407,51.016,17.745,44.362,0
2021-12-02 11:56:00,0,,,1638426408457,31.52,46.475,945.613,76,-1520,298,1331,510,644,0,76.056,69.973,77.726,78.06,485.692,554.86,558.308,558.953,559.132,0.571,-0.112,0.032,0,63744,512,0,60.835,52.391,68.705,0,0,4097,95,30,30,30,30,30,30,30,30,120,30,30,1,1,1638426408878,17.445,78.351,1.9,210.91,15.953,176.765,0.211,0.938,17.176,151,20.992,52.479,18.254,45.634,0
2021-12-02 11:57:00,0,,,1638426454930.5,31.85,45.713,945.692,17.5,-349.5,281,1288.5,287,583,0,73.227,67.101,75.064,75.431,465.069,531.761,535.374,536.055,536.235,0.595,0,0,-0.024,32768,0,32384,60.268,49.368,69.302,0,0,4101,95,30,30,30,30,30,30,30,30,120,30,30,1,1,1638426455369,17.445,78.351,1.75,196.406,8.81,75.096,0.196,0.713,15.325,145.5,20.211,50.526,17.574,43.936,0
2021-12-02 11:58:00,0,,,1638426516591.5,32.27,45.919,945.589,76.5,-1532,294,1323,414,618.5,0,73.911,67.669,75.816,76.197,468.855,536.192,539.904,540.604,540.787,0.583,-0.08,-0.12,-0.08,64256,63616,64256,59.573,48.95,75.422,0,0,4088,95,30,30,30,30,30,30,30,30,120,30,30,1,1,1638426517028.5,17.445,78.351,2.05,206.823,12.878,177.281,0.207,0.853,16.224,149.4,20.4,50.999,17.739,44.347,0
