Date Time, CO(ppm), NO2(ppm), O3(ppm),Unnamed: 0,Unnamed: 0.1,timestamp,temp_c,hum_prcnt,press_hpa,ozone_ppm,ozone_volt_mv,co_ppm,co_mv,no2_ppb,no2_mv,tvoc_ppb,mc2p5_ugpm3,mc1p0_ugpm3,mc4p0_ugpm3,mc10p0_ugpm3,nc0p5_npcm3,nc1p0_npcm3,nc2p5_npcm3,nc4p0_npcm3,nc10p0_npcm3,typ_pm_um,x_g,y_g,z_g,x_raw,y_raw,z_raw,eq_db,onesmin_db,onesmax_db,lux_lx,uv_mwpm2,batt_volt,batt_prcnt,si1133_int,lis3dh_int,sgpc3_int,batt_int,speco3_int,sps30_int,sps30pre_int,mic4514_int,mic4514pre_int,mic_int,bme280_int,leds_on,code_version,receivedTimestamp,lat,lon,acc,co-ug,no2-ug,o3-ug,co-mg,bc-proxy,ldsa-proxy,newaqi,dosage-male-walking-low,dosage-male-walking-high,dosage-female-walking-low,dosage-female-walking-high,accbin
2021-12-02 11:53:00,0.0,,,347939.5,347939.5,1638426220178.0,28.725,50.774,946.656,64.5,-1278.5,300.0,1342.5,1444.0,901.5,0.0,82.836,70.386,89.638,90.999,473.649,551.085,561.191,563.187,563.551,0.69,-0.016,-0.008,0.048,32512.0,32640.0,768.0,54.507,47.972,65.509,483.959,0.402,4126.5,98.5,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1638426221422.5,17.446,78.351,21.65,217.974,45.876,158.065,0.218,1.489,23.155,151.9,22.863,57.157,19.881,49.701,0.5
2021-12-02 11:56:00,0.0,,,347959.0,347959.0,1638426414881.0,30.34,49.214,946.589,0.0,565.0,364.0,1510.0,2092.0,1091.0,0.0,76.164,67.329,80.183,80.987,460.321,530.575,537.018,538.273,538.531,0.665,-0.08,0.032,-0.032,64256.0,512.0,65024.0,63.363,52.79,78.896,73.951,0.632,4090.0,97.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1638426415801.0,17.445,78.351,1.7,266.96,66.602,45.376,0.267,1.754,0.0,151.0,21.021,52.553,18.279,45.698,0.0
2021-12-02 12:02:00,0.0,,,347983.0,347983.0,1638426730704.0,31.58,44.677,946.483,0.0,3909.0,381.0,1570.0,2107.0,1094.0,0.0,71.522,64.596,74.124,74.644,445.29,510.767,515.323,516.197,516.4,0.654,-0.032,0.032,-0.08,65024.0,512.0,64256.0,64.434,62.842,67.232,31.541,0.31,4096.0,95.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1638426731740.0,17.445,78.351,1.7,275.588,67.038,44.881,0.276,1.755,0.0,142.0,19.74,49.35,17.165,42.913,0.0
2021-12-02 12:07:00,3.1,,,348007.0,348007.0,1638427030964.0,31.93,41.715,946.581,0.0,3838.0,349.0,1479.0,1657.0,959.0,0.0,68.471,61.73,71.055,71.572,425.249,487.973,492.453,493.314,493.512,0.643,-0.064,-0.016,-0.016,64512.0,65280.0,65280.0,65.582,60.196,79.184,657.255,0.349,4085.0,95.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1638427031436.0,17.445,78.351,1.7,246.923,52.608,44.781,0.247,1.56,0.0,136.0,18.898,47.245,16.433,41.082,0.0
2021-12-02 12:32:00,2.74,,,348156.0,348156.0,1638428569581.0,33.67,37.024,949.056,0.0,2500.0,418.0,1664.0,1696.0,975.0,0.0,90.318,82.811,92.542,92.987,574.087,656.322,660.722,661.551,661.771,0.619,-0.016,0.016,0.016,65280.0,256.0,256.0,69.5,68.077,71.538,3180.115,0.486,4062.0,92.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1638428569300.0,17.445,78.351,1.7,296.806,53.812,44.046,0.297,1.762,0.0,151.4,24.928,62.319,21.676,54.191,0.0
2021-12-02 12:52:00,11.87,,,348276.0,348276.0,1638429773747.0,34.45,35.516,945.784,0.0,4090.0,451.0,1764.0,1810.0,1008.0,0.0,100.281,94.832,100.281,100.281,664.836,755.1,756.838,757.117,757.277,0.509,0.016,-0.032,-0.08,256.0,65024.0,64256.0,75.399,71.572,79.078,1527.223,0.418,4038.0,91.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1638429772830.0,17.445,78.351,1.7,321.404,57.447,43.703,0.321,1.896,0.0,151.7,27.678,69.194,24.067,60.169,0.0
2021-12-02 13:01:00,3.76,,,348329.0,348329.0,1638430274889.0,33.05,37.21,945.508,0.0,2677.0,353.0,1493.0,1392.0,894.0,0.0,67.042,59.412,70.454,71.137,406.583,468.37,473.882,474.954,475.177,0.686,0.0,-0.048,-0.192,0.0,64768.0,62464.0,77.537,69.787,84.097,907.717,0.585,4041.0,90.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1638430273967.0,17.445,78.351,1.7,245.227,44.084,44.344,0.245,1.454,0.0,133.0,18.504,46.259,16.09,40.225,0.0
2021-12-03 10:19:00,0.0,,,350366.0,350366.0,1638506989664.0,25.64,60.106,948.273,259.0,-5162.0,388.0,1591.0,5985.0,2182.0,0.0,121.706,107.931,142.821,147.058,614.651,792.255,857.465,870.61,872.547,0.734,0.016,0.0,-0.128,256.0,0.0,63488.0,63.435,62.212,64.901,87.272,0.502,4050.0,93.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1638506946911.0,17.445,78.351,3.4,298.929,191.276,496.898,0.299,3.055,34.079,160.8,33.591,83.977,29.209,73.024,0.0
2021-12-03 10:20:00,0.0,,,350368.0,350368.0,1638507020670.0,25.91,60.834,948.299,185.0,-3687.0,316.0,1383.0,3842.0,1574.0,0.0,99.739,82.173,110.135,112.214,545.83,639.998,654.977,657.952,658.465,0.707,-0.048,0.016,-0.048,64768.0,256.0,64768.0,64.459,59.861,70.648,86.961,0.879,4037.0,92.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1638506974125.0,17.445,78.351,2.3,241.866,122.709,368.322,0.242,2.36,29.585,156.8,27.528,68.82,23.937,59.844,0.0
2021-12-03 10:59:00,3.03,,,350487.0,350487.0,1638509393652.0,32.45,40.487,954.262,0.0,2453.0,468.0,1811.0,1953.0,1045.0,0.0,109.045,99.759,111.921,112.496,691.011,790.379,795.934,796.983,797.256,0.583,0.0,-0.016,0.048,0.0,65280.0,768.0,75.306,69.123,79.62,758.344,0.349,3978.0,86.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1638509347718.0,17.445,78.351,1.6,340.769,62.069,44.558,0.341,1.96,0.0,152.0,30.096,75.241,26.171,65.427,0.0
