Date Time, CO(ppm), NO2(ppm), O3(ppm)
02 Dec 2021 11:44,0,,
02 Dec 2021 11:45,0,,
02 Dec 2021 11:46,0,,
02 Dec 2021 11:47,0,,
02 Dec 2021 11:48,0,,
02 Dec 2021 11:49,0,,
02 Dec 2021 11:50,0,,
02 Dec 2021 11:51,0,,
02 Dec 2021 11:52,0,,
02 Dec 2021 11:53,0,,
02 Dec 2021 11:54,0,,
02 Dec 2021 11:55,0,,
02 Dec 2021 11:56,0,,
02 Dec 2021 11:57,0,,
02 Dec 2021 11:58,0,,
02 Dec 2021 11:59,0,,
02 Dec 2021 12:00,0,,
02 Dec 2021 12:01,0,,
02 Dec 2021 12:02,0,,
02 Dec 2021 12:03,0,,
02 Dec 2021 12:04,0.09,,
02 Dec 2021 12:05,0,,
02 Dec 2021 12:06,0.63,,
02 Dec 2021 12:07,3.1,,
02 Dec 2021 12:08,4.26,,
02 Dec 2021 12:09,4.61,,
02 Dec 2021 12:10,5.27,,
02 Dec 2021 12:11,3.24,,
02 Dec 2021 12:12,1.8,,
02 Dec 2021 12:13,1.02,,
02 Dec 2021 12:14,0.04,,
02 Dec 2021 12:15,0,,
02 Dec 2021 12:16,0,,
02 Dec 2021 12:17,0,,
02 Dec 2021 12:18,0,,
02 Dec 2021 12:19,0,,
02 Dec 2021 12:20,3.16,,
02 Dec 2021 12:21,4.11,,
02 Dec 2021 12:22,4.33,,
02 Dec 2021 12:23,1.75,,
02 Dec 2021 12:24,0.6,,
02 Dec 2021 12:25,0,,
02 Dec 2021 12:26,1.56,,
02 Dec 2021 12:27,0,,
02 Dec 2021 12:28,0,,
02 Dec 2021 12:29,0,,
02 Dec 2021 12:30,0,,
02 Dec 2021 12:31,0,,
02 Dec 2021 12:32,2.74,,
02 Dec 2021 12:33,3.7,,
02 Dec 2021 12:34,4.41,,
02 Dec 2021 12:35,3.01,,
02 Dec 2021 12:36,3.06,,
02 Dec 2021 12:37,4.39,,
02 Dec 2021 12:38,4.91,,
02 Dec 2021 12:39,1.59,,
02 Dec 2021 12:40,0,,
02 Dec 2021 12:41,0,,
02 Dec 2021 12:42,0,,
02 Dec 2021 12:43,0,,
02 Dec 2021 12:44,0,,
02 Dec 2021 12:45,0,,
02 Dec 2021 12:46,0,,
02 Dec 2021 12:47,0,,
02 Dec 2021 12:48,4.59,,
02 Dec 2021 12:49,6.03,,
02 Dec 2021 12:50,8.53,,
02 Dec 2021 12:51,9.31,,
02 Dec 2021 12:52,11.87,,
02 Dec 2021 12:53,10.94,,
02 Dec 2021 12:54,11.65,,
02 Dec 2021 12:55,9.79,,
02 Dec 2021 12:56,8.89,,
02 Dec 2021 12:57,8.15,,
02 Dec 2021 12:58,5.83,,
02 Dec 2021 12:59,4.63,,
02 Dec 2021 13:00,4.14,,
02 Dec 2021 13:01,3.76,,
03 Dec 2021 10:08,0,,
03 Dec 2021 10:09,0,,
03 Dec 2021 10:10,0,,
03 Dec 2021 10:11,0,,
03 Dec 2021 10:12,0,,
03 Dec 2021 10:13,0,,
03 Dec 2021 10:14,0,,
03 Dec 2021 10:15,0,,
03 Dec 2021 10:16,0,,
03 Dec 2021 10:17,0,,
03 Dec 2021 10:18,0,,
03 Dec 2021 10:19,0,,
03 Dec 2021 10:20,0,,
03 Dec 2021 10:21,0,,
03 Dec 2021 10:22,0,,
03 Dec 2021 10:23,1,,
03 Dec 2021 10:24,0.71,,
03 Dec 2021 10:25,1.48,,
03 Dec 2021 10:26,0,,
03 Dec 2021 10:27,0,,
03 Dec 2021 10:28,0,,
03 Dec 2021 10:29,1.14,,
03 Dec 2021 10:30,2.43,,
03 Dec 2021 10:31,4.99,,
03 Dec 2021 10:32,4.91,,
03 Dec 2021 10:33,4.34,,
03 Dec 2021 10:34,5.95,,
03 Dec 2021 10:35,3.28,,
03 Dec 2021 10:36,1.62,,
03 Dec 2021 10:37,2.44,,
03 Dec 2021 10:38,1.72,,
03 Dec 2021 10:39,1.78,,
03 Dec 2021 10:40,2.17,,
03 Dec 2021 10:41,1.43,,
03 Dec 2021 10:42,1.71,,
03 Dec 2021 10:43,2.59,,
03 Dec 2021 10:44,2.42,,
03 Dec 2021 10:45,2.96,,
03 Dec 2021 10:46,3.53,,
03 Dec 2021 10:47,4.13,,
03 Dec 2021 10:48,4.1,,
03 Dec 2021 10:49,5.27,,
03 Dec 2021 10:50,3.87,,
03 Dec 2021 10:51,3.82,,
03 Dec 2021 10:52,4.45,,
03 Dec 2021 10:53,4.14,,
03 Dec 2021 10:54,3.24,,
03 Dec 2021 10:55,3.86,,
03 Dec 2021 10:56,3.12,,
03 Dec 2021 10:57,2.25,,
03 Dec 2021 10:58,3.82,,
03 Dec 2021 10:59,3.03,,
03 Dec 2021 11:00,4.03,,
03 Dec 2021 11:01,5.64,,
03 Dec 2021 11:02,5.07,,
03 Dec 2021 11:03,4.17,,
03 Dec 2021 11:04,3.63,,
03 Dec 2021 11:05,5.91,,
03 Dec 2021 11:06,5.67,,
03 Dec 2021 11:07,2.53,,
03 Dec 2021 11:08,2.18,,
03 Dec 2021 11:09,2.93,,
03 Dec 2021 11:10,4.64,,
03 Dec 2021 11:11,5.12,,
03 Dec 2021 11:12,9.29,,
03 Dec 2021 11:13,1.79,,
03 Dec 2021 11:14,1.26,,
03 Dec 2021 11:15,0,,
03 Dec 2021 11:16,0,,
03 Dec 2021 11:17,0.25,,
03 Dec 2021 11:18,0,,
03 Dec 2021 11:19,0,,
03 Dec 2021 11:20,0,,
03 Dec 2021 11:21,0,,
03 Dec 2021 11:22,0,,
03 Dec 2021 11:23,0,,
03 Dec 2021 11:24,0.95,,
03 Dec 2021 11:25,2.16,,
03 Dec 2021 11:26,2.44,,
03 Dec 2021 11:27,1.69,,
03 Dec 2021 11:28,2.04,,
03 Dec 2021 11:29,2.46,,
03 Dec 2021 11:30,1.87,,
03 Dec 2021 11:31,2.81,,
03 Dec 2021 11:32,2.01,,
03 Dec 2021 11:33,1.42,,
03 Dec 2021 11:34,1.44,,
03 Dec 2021 11:35,0,,
03 Dec 2021 11:36,0.74,,
03 Dec 2021 11:37,1.45,,
03 Dec 2021 11:38,2.73,,
03 Dec 2021 11:39,2.81,,
03 Dec 2021 11:40,3.32,,
03 Dec 2021 11:41,2.65,,
03 Dec 2021 11:42,0,,
03 Dec 2021 11:43,0,,
03 Dec 2021 14:13,0,,
03 Dec 2021 14:14,0,,
03 Dec 2021 14:15,0,,
03 Dec 2021 14:16,0,,
03 Dec 2021 14:17,0,,
03 Dec 2021 14:18,0,,
03 Dec 2021 14:19,0,,
03 Dec 2021 14:20,0,,
03 Dec 2021 14:21,0,,
03 Dec 2021 14:22,0,,
03 Dec 2021 14:23,0,,
03 Dec 2021 14:24,0,,
03 Dec 2021 14:25,0,,
03 Dec 2021 14:26,0,,
03 Dec 2021 14:27,0,,
03 Dec 2021 14:28,0,,
03 Dec 2021 14:29,0,,
03 Dec 2021 14:30,0,,
03 Dec 2021 14:31,0,,
03 Dec 2021 14:32,0,,
03 Dec 2021 14:33,0,,
03 Dec 2021 14:34,0,,
03 Dec 2021 14:35,0,,
03 Dec 2021 14:36,0,,
03 Dec 2021 14:37,0,,
03 Dec 2021 14:38,0,,
03 Dec 2021 14:39,0,,
03 Dec 2021 14:40,0,,
03 Dec 2021 14:41,0,,
03 Dec 2021 14:42,0.76,,
03 Dec 2021 14:43,0,,
03 Dec 2021 14:44,0,,
03 Dec 2021 14:45,0,,
03 Dec 2021 14:46,0,,
03 Dec 2021 14:47,0,,
03 Dec 2021 14:48,0,,
03 Dec 2021 14:49,0,,
03 Dec 2021 14:50,0,,
03 Dec 2021 14:51,0,,
03 Dec 2021 14:52,0,,
03 Dec 2021 14:53,0,,
03 Dec 2021 14:54,0,,
03 Dec 2021 14:55,0,,
03 Dec 2021 14:56,0,,
03 Dec 2021 14:57,1.57,,
03 Dec 2021 14:58,3.31,,
03 Dec 2021 14:59,5.2,,
03 Dec 2021 15:00,2.31,,
03 Dec 2021 15:01,2.5,,
03 Dec 2021 15:02,4.93,,
03 Dec 2021 15:03,3.17,,
03 Dec 2021 15:04,2.38,,
03 Dec 2021 15:05,3.57,,
03 Dec 2021 15:06,5.85,,
03 Dec 2021 15:07,1.72,,
03 Dec 2021 15:08,1.38,,
03 Dec 2021 15:09,3.35,,
03 Dec 2021 15:10,4.57,,
03 Dec 2021 15:11,3.02,,
03 Dec 2021 15:12,1.35,,
03 Dec 2021 15:13,1.48,,
03 Dec 2021 15:14,2.45,,
03 Dec 2021 15:15,1.82,,
03 Dec 2021 15:16,2.3,,
